master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	inclusion_rationale	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles	treatmentid
154846	ML162	BRD-A36275421	33	probe	pilot-set		selectively kills engineered cells expressing mutant HRAS	ChemDiv Inc.	K784-3185	COc1ccc(cc1Cl)N(C(C(=O)NCCc1ccccc1)c1cccs1)C(=O)CCl	ML162
176181	CIL41	BRD-K05392795	160	probe	pilot-set		screening hit	Columbia University		N=C(NOC(=O)C12CC3CC(CC(C3)C1)C2)c1ccccc1	CIL41
182395	NSC30930	BRD-K29711668	66	probe	outreach	SRD5A2	inhibitor of steroid 5-alpha reductase	National Cancer Institute Chemotherapeutic Agents Repository		OC(=O)c1cc2cc(OCc3ccccc3)ccc2[nH]1	NSC30930
183526	CIL70	BRD-K20215950	40	probe	pilot-set		screening hit	Columbia University		Clc1ccc(CC(=N)NOC(=O)c2cccc3ccccc23)cc1	CIL70
185987	MI-1	BRD-K64497429	33	probe	lit-search	MEN1	binder of menin; inhibitor of menin-MLL fusion protein	InterBioScreen Ltd.	STOCK3S-35137	CC1(C)CN=C(S1)N1CCN(CC1)c1ncnc2sc3CCCCc3c12	MI-1
199337	DBeQ	BRD-K59204667	66	probe	lit-search	VCP	inhibitor of p97 in cells	Tocris Bioscience	4417	C(Nc1nc(NCc2ccccc2)c2ccccc2n1)c1ccccc1	DBeQ
215497	Mdivi-1	BRD-K61128465	66	probe	lit-search	DNM1	inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor	Tocris Bioscience	3982	COc1cc(c(Cl)cc1Cl)-n1c(=S)[nH]c2ccccc2c1=O	Mdivi-1
255961	ML083	BRD-K44241590	37	probe	pilot-set	PKM	activator of muscle pyruvate kinase	Enamine Ltd.	T6096896	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1	ML083
267119	CID-5951923	BRD-A86956638	66	probe	chromatin;lit-search	KLF5	modulator of KLF5 expression	Tocris Bioscience	4446	CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)\C=C\c1cccc(c1)[N+]([O-])=O	CID-5951923
272805	IU1	BRD-K45841694	66	probe	lit-search	USP14	inhibitor of the deubiquitinase activity of USP14	Tocris Bioscience	4088	Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1	IU1
277354	dexamethasone	BRD-A35108200	33	FDA	pilot-set	NR3C1	agonist of glucocorticoid receptor	ChemDiv Inc.	R092-0055	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	dexamethasone
290356	ML311	BRD-A40802033	66	probe	outreach	MCL1	inhibitor of MCL1	Eutropics Pharmaceuticals	EU-5346	CCN1CCN(CC1)C(c1ccc(cc1)C(F)(F)F)c1ccc2cccnc2c1O	ML311
340501	VX-680	BRD-K59369769	66	clinical	pilot-set	AURKA;AURKB;AURKC	inhibitor of aurora kinases	Selleck	S1048	CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1	VX-680
345041	imatinib	BRD-K92723993	66	FDA	std-of-care	ABL1;BCR;KIT	inhibitor of BCR-ABL1 and c-KIT	Selleck	S2475	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1	imatinib
345712	O-6-benzylguanine	BRD-K92041145	66	clinical	CTEP	MGMT	inhibitor of O(6)-alkylguanine DNA alkyltransferases	Sigma-Aldrich	B2292	Nc1nc(OCc2ccccc2)c2[nH]cnc2n1	O-6-benzylguanine
347775	decitabine	BRD-K79254416	66	FDA	chromatin;CTEP;std-of-care	DNMT1	inhibitor of DNA methyltransferase	Selleck	S1200	Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	decitabine
347812	CHIR-99021	BRD-K16189898	80	probe	kinome;pilot-set	GSK3B	inhibitor of GSK3 beta	Selleck	S1263	Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl	CHIR-99021
347813	BI-2536	BRD-K64890080	33	clinical	kinome;pilot-set	PLK1	inhibitor of polo-like kinase 1 (PLK1)	Selleck	S1109	CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O	BI-2536
348633	BRD-K61166597	BRD-K61166597	66	probe	chromatin;outreach		inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		Nc1ccc(cc1NC(=O)c1ccc(cc1)C(=O)NCCc1ccncc1)-c1cccs1	BRD-K61166597
348990	axitinib	BRD-K29905972	66	FDA	kinome	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta	Selleck	S1005	CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1	axitinib
348991	selumetinib	BRD-K57080016	270	clinical	CTEP;kinome;pilot-set	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	Selleck	S1008	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO	selumetinib
348992	NVP-BEZ235	BRD-K12184916	17	clinical	kinome;outreach;pilot-set	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K and mTOR kinase activity	Spanish National Cancer Research Centre		Cn1c2cnc3ccc(cc3c2n(-c2ccc(cc2)C(C)(C)C#N)c1=O)-c1cnc2ccccc2c1	NVP-BEZ235
348997	GW-843682X	BRD-K90382497	33	probe	kinome;pilot-set	PLK1;PLK3	inhibitor of PLK1 and PLK3	Axon Medchem	1131	COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(N)=O)c2cc1OC	GW-843682X
349002	vandetanib	BRD-K77625799	66	FDA	kinome;std-of-care	EGFR;KDR	inhibitor of VEGFR2 and EGFR	Selleck	S1046	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1	vandetanib
349006	sorafenib	BRD-K23984367	66	FDA	CTEP;kinome;std-of-care	BRAF;FLT3;KDR;RAF1	inhibitor of BRAF, CRAF, and VEGFR2	Cayman	10009644	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1	sorafenib
350548	ML029	BRD-K59962020	33	probe	chromatin;pilot-set		inhibitor of antigen receptor-mediated NFkappaB activity	WuXi AppTec	TH02453-034	Cc1cc2nc(NCCCO)n(CC(=O)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)c2cc1C	ML029
351043	temozolomide	BRD-A94153989	66	FDA	std-of-care		DNA alkylator	Selleck	S1237	CN1N=Nc2c(ncn2C1=O)C(=O)N	temozolomide
362063	QW-BI-011	BRD-K72264770	33	probe	chromatin;pilot-set	EHMT2	inhibitor of G9a histone methyltransferase	Broad Institute of MIT and Harvard		COC(=O)c1ccc2n(CCCc3ccccc3)c(NC(=O)c3ccccc3)nc2c1	QW-BI-011
362207	BRD-K90370028	BRD-K90370028	33	probe	outreach		screening hit	Broad Institute of MIT and Harvard		CC(=O)N[C@@H]1C\C=C\CCC(=O)N[C@@H](COC1=O)c1ccccc1	BRD-K90370028
362338	SNX-2112	BRD-K71281111	37	probe	pilot-set	HSP90AA1;HSP90B1	inhibitor of HSP90alpha and HSP90beta	Broad Institute of MIT and Harvard		CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1	SNX-2112
362342	navitoclax	BRD-K82746043	33	clinical	CTEP;pilot-set	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2, BCL-xL, and BCL-W	Selleck	S1001	CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1	navitoclax
374747	bexarotene	BRD-K92441787	66	FDA	chromatin;std-of-care	RXRA;RXRB;RXRG	inhibitor of retinoid X receptors	LC Laboratories	B-2422	Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C	bexarotene
374749	nilotinib	BRD-K81528515	66	FDA	kinome;std-of-care	ABL1;BCR;KIT	inhibitor of ABL1, BCR, and c-KIT	Selleck	S1033	Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F	nilotinib
374750	sunitinib	BRD-K42828737	66	FDA	CTEP;kinome	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta	Selleck	S1042	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib
374755	bendamustine	BRD-K17068645	66	FDA	std-of-care		DNA alkylator	Selleck	S1212	Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl	bendamustine
375219	omacetaxine mepesuccinate	BRD-K76674262	66	FDA	lit-search		inhibitor of protein translation by preventing protein elongation	Tocris Bioscience	1416	COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC	omacetaxine mepesuccinate
375256	CD-437	BRD-K28907958	37	probe	chromatin;pilot-set	RARG	agonist of retinoic acid receptor gamma	Sigma-Aldrich	C5865	OC(=O)c1ccc2cc(ccc2c1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2	CD-437
375264	SCH-79797	BRD-K17140735	37	probe	pilot-set	F2R	antagonist of proteinase-activated receptor 1 (PAR1)	Tocris Bioscience	1592	CC(C)c1ccc(Cn2ccc3c2ccc2nc(NC4CC4)nc(N)c32)cc1	SCH-79797
375354	LE-135	BRD-K06593056	66	probe	pilot-set	RARB	antagonist of retinoic acid receptor beta	Tocris Bioscience	2021	CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C	LE-135
375366	SKI-II	BRD-K20755323	130	probe	kinome;pilot-set	SPHK1	inhibitor of sphingosine kinase 1	Cayman	10009222	Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1	SKI-II
375390	CI-976	BRD-K88544581	270	probe	pilot-set	ACAT1	inhibitor of acetyl-CoA acetyltransferase I	Sigma-Aldrich	C3743	CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC	CI-976
375395	Platin	BRD-K69172251	66	FDA	std-of-care		DNA alkylator; organoplatinum reagent	Selleck	S1166	N[Pt](N)(Cl)Cl	Platin
375435	necrostatin-1	BRD-A36318220	530	probe	pilot-set	RIPK1	inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway	Sigma-Aldrich	N9037	CN1C(=S)NC(Cc2c[nH]c3ccccc23)C1=O	necrostatin-1
375447	GW-405833	BRD-K10705233	130	probe	pilot-set	CNR2	partial agonist of cannabinoid receptor 2	Sigma-Aldrich	G1421	COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN3CCOCC3)c2c1	GW-405833
375487	AC55649	BRD-K93176058	33	probe	chromatin;pilot-set	RARB	agonist of retinoic acid receptor beta	ChemBridge Corporation	5308535	CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O	AC55649
375492	RITA	BRD-K00317371	33	probe	pilot-set	MDM2;TP53	inhibitor of p53-MDM2 interaction	Tocris Bioscience	2443	OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1	RITA
375496	LY-2183240	BRD-K37865504	33	probe	pilot-set	FAAH	inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake	Tocris Bioscience	2452	CN(C)C(=O)n1nnnc1Cc1ccc(cc1)-c1ccccc1	LY-2183240
375560	Ki8751	BRD-K47150025	66	probe	kinome	KDR;KIT;PDGFRA	inhibitor of VEGFR2, c-KIT, and PDGFRA	Selleck	S1363	COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC	Ki8751
375562	CD-1530	BRD-K25737009	130	probe	chromatin;pilot-set	RARG	agonist of retinoic acid receptor gamma	Tocris Bioscience	2554	OC(=O)c1ccc(cc1)-c1ccc2cc(c(O)cc2c1)C12CC3CC(CC(C3)C1)C2	CD-1530
375564	TPCA-1	BRD-K51575138	66	probe	chromatin;outreach	IKBKB	inhibitor of IKK-2	Tocris Bioscience	2559	NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1	TPCA-1
375582	oxaliplatin	BRD-M14820059	66	FDA	std-of-care		DNA alkylator; organoplatinum reagent	Selleck	S1224	O=C1O[Pt]2(NC3CCCCC3N2)OC1=O	oxaliplatin
375594	NSC632839	BRD-K37392901	33	probe	pilot-set	USP13;USP5	inhibitor of ubiquitin isopeptidase			Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1	NSC632839
375596	pifithrin-mu	BRD-K96799727	33	probe	pilot-set	HSPA1A;HSPA1B;HSPA1L;TP53	inhibitor of p53 binding to mitochondria; inhibitor of HSP70	Sigma-Aldrich	P0122	NS(=O)(=O)C#Cc1ccccc1	pifithrin-mu
375637	SN-38	BRD-A36630025	1.3	probe	pilot-set	TOP1	metabolite of irinotecan; inhibitor of topoisomerase I	Tocris Bioscience	2684	CCc1c2Cn3c(cc4c(COC(=O)C4(O)CC)c3=O)-c2nc2ccc(O)cc12	SN-38
376307	BRD-K80183349	BRD-K80183349	66	probe	chromatin;outreach	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)N1CCC(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1	BRD-K80183349
376693	BRD-K66532283	BRD-K66532283	66	probe	chromatin;outreach	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		Nc1ccc(cc1NC(=O)C1=CCCC1)-c1cccs1	BRD-K66532283
377381	MK-2206	BRD-K68065987	33	clinical	chromatin;CTEP;kinome;pilot-set	AKT1	inhibitor of AKT1	Selleck	S1078	NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1	MK-2206
385240	triazolothiadiazine	BRD-K05402890	66	probe	pilot-set	PDE4A;PDE4B;PDE4D	inhibitor of phosphdiesterase 4A/B/D	WuXi AppTec	TH02420-017	COc1ccc(OC)c(c1)-c1nnc2SCC(=Nn12)c1ccc(OC)c(OC)c1	triazolothiadiazine
387472	BRD-K66453893	BRD-K66453893	66	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2CC1=O	BRD-K66453893
389297	BRD-K11533227	BRD-K11533227	66	probe	chromatin;outreach	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)NC1CCN(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1	BRD-K11533227
397964	BRD-K27224038	BRD-K27224038	66	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCOCC2)Oc2ncc(cc2C1=O)C#CC1(O)CCCC1	BRD-K27224038
401251	BRD-K33514849	BRD-K33514849	34	probe	outreach		screening hit	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1	BRD-K33514849
402775	BRD-K14844214	BRD-K14844214	66	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1	BRD-K14844214
404070	BRD1835	BRD-K62801835	130	probe	chromatin;DOS;outreach	EZH2	product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2cc(ccc2S1(=O)=O)C#CCC1CCCC1	BRD1835
404452	BRD-K41597374	BRD-K41597374	67	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(ccc2S1(=O)=O)C#CC1CCCC1	BRD-K41597374
404566	BRD-K63431240	BRD-K63431240	66	probe	DOS;outreach		product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1	BRD-K63431240
410270	BRD-K13999467	BRD-K13999467	67	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccncc2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccccc1F	BRD-K13999467
410703	BRD-K96970199	BRD-K96970199	66	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C\C=C\c1ccc2c(O[C@@H](CN(C)C(=O)c3ccccc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	BRD-K96970199
411714	brefeldin A	BRD-A31107743	37	probe	pilot-set	ARF1	modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi	ChemBridge Corporation	6908419	CC1CCC\C=C/C2CC(O)CC2C(O)\C=C/C(=O)O1	brefeldin A
411716	AGK-2	BRD-K32536677	33	probe	chromatin;pilot-set	SIRT2	inhibitor of sirtuin 2	ChemBridge Corporation;Tocris Bioscience	5857140;3233	Clc1ccc(Cl)c(c1)-c1ccc(\C=C(/C#N)C(=O)Nc2cccc3ncccc23)o1	AGK-2
411717	L-685458	BRD-K87317732	37	probe	pilot-set	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	Sigma-Aldrich	L1790	CC(C)C[C@H](NC(=O)[C@@H](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	L-685458
411719	PF-750	BRD-K83213911	270	probe	pilot-set	FAAH	inhibitor of fatty acid amide hydrolase	Cayman	10010908	O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1	PF-750
411720	triptolide	BRD-A13122391	0.3	clinical	pilot-set		natural product; inhibitor of RNA polymerase II	Sigma-Aldrich	T3652	CC(C)[C@]12O[C@H]1[C@@H]1O[C@]11[C@]3(O[C@H]3CC3C4=C(CC[C@]13C)C(=O)OC4)[C@@H]2O	triptolide
411722	nutlin-3	BRD-A12230535	150	clinical	pilot-set	MDM2	inhibitor of p53-MDM2 interaction	Selleck	S1061	COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1	nutlin-3
411724	AA-COCF3	BRD-K07303502	270	probe	pilot-set	FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D	inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase	Cayman	62120	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)C(F)(F)F	AA-COCF3
411726	16-beta-bromoandrosterone	BRD-K98404142	37	probe	pilot-set		dehydroepiandrosterone (DHEA) analog	Sigma-Aldrich	B9392	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1C[C@H](Br)C2=O	16-beta-bromoandrosterone
411727	PRL-3 inhibitor I	BRD-K09907482	130	probe	pilot-set	PTP4A3	inhibitor of phosphatase of regenerating liver-3 (PRL3)	Sigma-Aldrich;EMD Biosciences	P0108;539808	Brc1ccc(OCc2ccccc2Br)c(\C=C2\SC(=S)NC2=O)c1	PRL-3 inhibitor I
411731	SID 26681509	BRD-K08417745	300	probe	pilot-set	CTSL1	inhibitor of cathepsin L	Tocris Bioscience	3625	CCc1ccccc1NC(=O)CSC(=O)NNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C	SID 26681509
411733	neuronal differentiation inducer III	BRD-K53903639	270	probe	chromatin;pilot-set		induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity	EMD Biosciences	BRD3639	O=C(NC1CC1)c1cc(on1)-c1cccs1	neuronal differentiation inducer III
411734	NSC 74859	BRD-K40853697	530	probe	chromatin;pilot-set	STAT3	inhibitor of STAT3	Selleck	S1155	Cc1ccc(cc1)S(=O)(=O)OCC(=O)Nc1ccc(C(O)=O)c(O)c1	NSC 74859
411737	bortezomib	BRD-K88510285	0.13	FDA	CTEP;pilot-set;std-of-care	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of 26S proteasome	Toronto Research Chemicals;Selleck	B675700;S1013	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O	bortezomib
411738	ABT-737	BRD-K56301217	37	clinical	pilot-set	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2, BCL-xL, and BCL-W	Toronto Research Chemicals	A112550	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1	ABT-737
411739	zebularine	BRD-A01145011	590	probe	chromatin;pilot-set	DNMT1	inhibitor of DNA methyltransferases	Tocris Bioscience	2293	OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O	zebularine
411742	PI-103	BRD-K67868012	37	probe	kinome;pilot-set	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	inhibitor of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K	Tocris Bioscience	2930	Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1	PI-103
411749	tubastatin A	BRD-K00627859	33	probe	chromatin;pilot-set	HDAC6	inhibitor of tubulin deacetylase activity of HDAC6	Stanley Center for Psychiatric Research at the Broad Institute		CN1CCc2c(C1)c1ccccc1n2Cc1ccc(cc1)C(=O)NO	tubastatin A
411770	SR-II-138A	BRD-K11172604	33	probe	pilot-set	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	Boston University		CON(C)C(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC	SR-II-138A
411774	neopeltolide	BRD-K62479592	33	probe	pilot-set		inhibitor of cellular respiration	Boston University		CCC[C@H]1C[C@H](C[C@H](C)C[C@@H]2C[C@H](C[C@H](CC(=O)O1)O2)OC(=O)\C=C/CCc1coc(\C=C/CNC(=O)OC)n1)OC	neopeltolide
411792	parthenolide	BRD-K81651477	66	probe	pilot-set		natural product; modulator of ROS; modulator of NF-kappa-B signaling	Tocris Bioscience;Tocris Bioscience	607;0610	C\C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1	parthenolide
411805	Compound 7d-cis	BRD-K61829047	33	probe	pilot-set	XPO1	inhibitor of CRM1-mediated nucleocytoplasmic transport	WuXi AppTec	TH02330-015-1	CCOC(=O)\C=C/n1nnc(n1)-c1cccc(Cl)c1	Compound 7d-cis
411808	TG-101348	BRD-K12502280	37	clinical	kinome;pilot-set	JAK2	inhibitor of Janus kinase 2	Selleck	S2736	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C	TG-101348
411809	pevonedistat	BRD-K67844266	37	clinical	pilot-set	NAE1	inhibitor of Nedd-8 activating enzyme	WuXi AppTec	TH02333-012	NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12	pevonedistat
411814	AZD7545	BRD-K52836380	74	probe	kinome;pilot-set	PDK2	inhibitor of pyruvate dehydrogenase kinase 2	WuXi AppTec;WuXi AppTec	TH02357-029-A;TH02357-029-B	CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1	AZD7545
411815	VER-155008	BRD-K32330832	37	probe	pilot-set	HSPA1A;HSPA1B;HSPA1L	inhibitor of HSP70	WuXi AppTec	TH02357-035	Nc1ncnc2n([C@@H]3O[C@H](COCc4ccc(cc4)C#N)[C@@H](O)[C@H]3O)c(NCc3ccc(Cl)c(Cl)c3)nc12	VER-155008
411816	ML203	BRD-K80672993	37	probe	pilot-set	PKM	activator of muscle pyruvate kinase (PKM2)	WuXi AppTec	TH02357-061	Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1	ML203
411820	SRT-1720	BRD-K53855319	37	probe	chromatin;pilot-set	SIRT1	activator of sirtuin-1	WuXi AppTec	TH02370-053	O=C(Nc1cc(CN2CCNCC2)cc(c1)-c1nc2ccccc2[nH]1)c1cnc2ccccc2n1	SRT-1720
411824	CAY10594	BRD-K61662457	66	probe	pilot-set	PLD2	inhibitor of phospholipase D2	Cayman	13207	O=C(NCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc2ccccc2c1	CAY10594
411827	Compound 1541A	BRD-K30064966	37	probe	pilot-set	CASP3;CASP6;CASP7	activators of executioner procaspases 3, 6, and 7	WuXi AppTec	TH02435-020-1	Oc1cccc2cc(C(=O)Nc3cccc(c3)-c3cn4ccccc4n3)c(=O)oc12	Compound 1541A
411831	RG-108	BRD-K89391146	270	probe	pilot-set	DNMT1	inhibitor of DNA methyltransferase	Cayman	13302	OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O	RG-108
411832	PAC-1	BRD-K92991072	33	probe	pilot-set	CASP3	activator of procaspase-3	Tocris Bioscience	2581	Oc1c(CC=C)cccc1\C=N\NC(=O)CN1CCN(Cc2ccccc2)CC1	PAC-1
411833	pluripotin	BRD-K98538768	33	probe	pilot-set	MAPK1;RASAL1	promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK	Cayman	10009557	CN1C(=O)N(Cc2cnc(Nc3cc(C)nn3C)nc12)c1cc(NC(=O)c2cccc(c2)C(F)(F)F)ccc1C	pluripotin
411843	GMX-1778	BRD-K47335880	0.3	clinical	pilot-set	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	WuXi AppTec;Cayman	TH-2360-010-1;11021	Clc1ccc(OCCCCCC\N=C(\NC#N)Nc2ccncc2)cc1	GMX-1778
411856	avrainvillamide	BRD-K10466330	33	probe	pilot-set	NPM1	natural product; inhibitor of nucleophosmin	Harvard University		CC1(C)Oc2ccc3C4=C[C@@]56NC(=O)[C@]7(CCCN7C5=O)C[C@H]6C(C)(C)C4=[N+]([O-])c3c2C=C1	avrainvillamide
